Name,Gender,DOB,HBDApproved,Child,Cat,DogOther,Active,Calm,FoodMo,Intelligent,Outgoing,Holdingshel,Address,ImageLink
Tiger,M,1-Jan-2017,N,,,,,Y,N,,Y,SOSD,https://sosd.org.sg/wpcproduct/tiger/?form=adopt,https://sosd.org.sg/wp-content/uploads/2024/07/Tiger-e1721956820253.jpg
Toofie,M,6-Jan-2016,N,,,,,,Y,,,SOSD,https://sosd.org.sg/wpcproduct/toofie/?form=adopt,https://sosd.org.sg/wp-content/uploads/2023/12/Toofie-e1703572548697.jpg
Velvet,F,17-Oct-2016,Y,,,,,,N,,,SOSD,https://sosd.org.sg/wpcproduct/velvet/?form=adopt,https://sosd.org.sg/wp-content/uploads/2024/01/Velvet-e1706666735753.jpg
Yoko,F,8-Jul-2020,Y,,,,,,N,,,SOSD,https://sosd.org.sg/wpcproduct/yoko/?form=adopt,https://sosd.org.sg/wp-content/uploads/2024/08/Yoko-e1722601228956.png
Zane,M,1-Jul-2016,N,,,,,,N,,,SOSD,https://sosd.org.sg/wpcproduct/zane/?form=adopt,https://sosd.org.sg/wp-content/uploads/2020/08/Zane-e1598281735440.jpg
Ace,M,1-Apr-2020,N,,,,,,Y,,Y,SPCA,https://spca.org.sg/animal/ace/,https://spca.org.sg/wp-content/uploads/2023/12/IMG-20231219-WA0025.jpg
Ah Girl,F,1-Aug-2007,Y,,,,,,N,,,SPCA,https://spca.org.sg/animal/ah-girl/,https://spca.org.sg/wp-content/uploads/2024/01/IMG-20231221-WA0038.jpg
Argo,M,1-Aug-2020,N,,,,,,N,,Y,SPCA,https://spca.org.sg/animal/argo/,https://spca.org.sg/wp-content/uploads/2023/10/IMG-20231005-WA0031.jpg
Bacon,M,1-Apr-2018,N,,,,,,N,,,SPCA,https://spca.org.sg/animal/bacon/,https://spca.org.sg/wp-content/uploads/2023/07/IMG-20230705-WA0020.jpg
Blackie,M,1-Jul-2012,Y,,,,Y,,Y,,,SPCA,https://spca.org.sg/animal/blackie-2/,https://spca.org.sg/wp-content/uploads/2024/07/IMG-20240716-WA0008.jpg
Bear,M,1 Aug 2023,N,,,,,,N,,,SPCA,https://spca.org.sg/animal/bear/,https://spca.org.sg/wp-content/uploads/2024/04/WhatsApp-Image-2024-04-02-at-16.27.31_5f03abf5.jpg
Benny,M,1-Jan-2013,N,,,,,,N,,,SPCA,https://spca.org.sg/animal/benny/,https://spca.org.sg/wp-content/uploads/2022/12/Benny_2.jpg
Brownie,F,1-May-2015,N,,,,,,N,,,SPCA,https://spca.org.sg/animal/brownie/,https://spca.org.sg/wp-content/uploads/2022/12/Brownie_1.jpg
Candie,F,1-Aug-2023,Y,,,,,,N,,,SPCA,https://spca.org.sg/animal/candie/,https://spca.org.sg/wp-content/uploads/2024/06/IMG-20240612-WA0035.jpg
Cashmere,M,1-Oct-2021,N,,,,Y,,N,,,SPCA,https://spca.org.sg/animal/cashmere/,https://spca.org.sg/wp-content/uploads/2023/12/Cashmere.png
Channing,M,1-Jan-2016,N,,,,,,N,,,SPCA,https://spca.org.sg/animal/channing/,https://spca.org.sg/wp-content/uploads/2022/12/Channing_1.jpg
Cliff,M,1-Sep-2013,N,,,,Y,,N,,,SPCA,https://spca.org.sg/animal/cliff/,https://spca.org.sg/wp-content/uploads/2022/12/Cliff_1.jpg
Croffles,F,1-Jul-2024,N,,,,Y,,N,,Y,SPCA,https://spca.org.sg/animal/croffles/,https://spca.org.sg/wp-content/uploads/2024/09/IMG-20240906-WA0005.jpg
Danny,M,1-Apr-2022,Y,,,Y,,,Y,Y,,SPCA,https://spca.org.sg/animal/danny-2/,https://spca.org.sg/wp-content/uploads/2024/01/Danny-1.png
Gnocchi,M,1-Dec-2022,Y,,,Y,,,N,,,SPCA,https://spca.org.sg/animal/gnocchi/,https://spca.org.sg/wp-content/uploads/2023/12/Gnicchi.jpg
Hammie,M,1-Apr-2018,N,,,,,,N,,,SPCA,https://spca.org.sg/animal/hammie/,https://spca.org.sg/wp-content/uploads/2023/07/IMG-20230705-WA0022.jpg
Han Solo,M,1-Oct-2022,Y,,,Y,,,Y,,,SPCA,https://spca.org.sg/animal/han-solo/,https://spca.org.sg/wp-content/uploads/2024/02/photo_2024-02-07_16-03-19-1.jpg
Hazel,F,1-May-2015,N,,,,,Y,N,,,SPCA,https://spca.org.sg/animal/hazel/,https://spca.org.sg/wp-content/uploads/2022/12/Hazel_1.jpg
Hero,M,1-May-2021,N,,,,Y,,N,,,SPCA,https://spca.org.sg/animal/hero/,https://spca.org.sg/wp-content/uploads/2023/12/IMG-20240520-WA0011.jpg
Keiji,M,1-Jul-2016,N,,,,,,N,,,SPCA,https://spca.org.sg/animal/keiji/,https://spca.org.sg/wp-content/uploads/2022/12/Keiji_1.jpg
Kishen,M,1-Sep-2016,N,,,,,,N,,,SPCA,https://spca.org.sg/animal/kishen/,https://spca.org.sg/wp-content/uploads/2022/12/Kishen_1.jpg
